address,airdrop_received,cplay_bought,buy_transactions,vault_sent,played,flip_count,flip_10_count,flip_other_count,total_bets,total_payouts,wins,losses,miner_upgrade_count,click_upgrade_count,bought_miner,bought_click,onchain_miner_level,onchain_click_level,onchain_balance,first_activity_block,last_activity_block
0xCF413ac7B37D60D411684dd61e546021f2F67778,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994191,12994191
0x973C45DC18A29c65bAEe5ACf995e4Db2acD99387,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994204,12994204
0xD6191190aEa8433E479D0D6b86D9237e3254F01B,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994216,12994216
0x8b4aE8bc3cFaacbc01060D5D0091bA7382178fb6,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994229,12994229
0xCB60fd5b2511eC88ebd3Fd131b566C59054baB2b,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994242,12994242
0xeA9525425a4dbd8cebe12407F4F03BAf5fa17DC3,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994255,12994255
0x48354E18E10880306ca4C3cb76Fc4027838e448a,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994268,12994268
0x9d2657cCAAf20A9e33d11d8B2f6FE20f8dF70E09,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994281,12994281
0xdfbaAe9b5acDC368F692FC9B8c7f2298Dd26FF6F,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994294,12994294
0xcF07C3A85A981C8ee5DDCAC65273BC574C32728B,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994307,12994307
0x334E9B6a2003e1bac1Db7CFB4c187cAD3607722c,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994320,12994320
0x6e1526d700f70354419eB8153A5b51E0Cc916BA1,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994333,12994333
0xbE4EbA417999C7269c6D631eaEf82Ad3f2bCdd9e,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994343,12994343
0x12B25C74896114C8e9cB91F3A6133567E339DcB3,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994356,12994356
0xe8fBbc6d08bCbE85A723a7A99d3EEa6fe36B5eB6,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994369,12994369
0x51F49d8Dea70290Aa02B96aA1767841bB0A42944,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994381,12994381
0xa85Ab9769f9c40aEb8dC8441Fdd1b25dEA21ba1b,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994394,12994394
0xDEC7A494A80FA421ede390Bdb824E38CC956a285,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994407,12994407
0xa748f61927F9fE104eC894FFb35ec1b2a6071675,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994419,12994419
0x0d8673B0973D7e658D845c3393270eF9f133A1F4,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994432,12994432
0x1a1AAF0981EC3256fE81618147B139878ddF292C,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994445,12994445
0x343b8d07b85bDC67E67F2D5b1E4002a2447Da215,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994457,12994457
0xF613bdeE12ebF8b204D21C4ab57793F0AD47C607,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994470,12994470
0xd44b3cd0181c605208C0Bbb27c347E491f2b790f,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994483,12994483
0x8e045120052C2BfDE810D400BeAe8757f68AF06d,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994495,12994495
0x1d246766Cd9f9ccbd398D00e5F0eaa9380B7f334,"2,430,010","2,430,010",2,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12869364,12994508
0x747c25398e29a2063bd9D7873f66AEEb5C9f56AD,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994521,12994521
0x6512306283cE0236B703D39a8E697Acb20fFF828,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994533,12994533
0xc4070303921E905db8F481Be1ad606bB0dC18FB9,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994546,12994546
0x4cD6F86F28F6C9cFf1fdf4db69431909Dcfcd6F2,20,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994559,13603211
0x111d9B686FbA2C7c89dfF8E8297FF2f3CEEb6a3d,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994571,12994571
0x3c77Bb539266891e3A2546d468fD8101aED12FEb,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994584,12994584
0x240E2cB5EABb13B89D39acAE9A5A54b3fe523298,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994597,12994597
0xeC3024dA1788CE58d39B6B7a2B10D78a7e8e3cC6,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994609,12994609
0x2Cd8aD124147f4c622Be5bFdf18e65b08b14E8C0,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994622,12994622
0xEf74fe82C98b968C0B126bcacA842D12085F6ED8,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994634,12994634
0x5B865a8fE9C30BbcE9EfCDC98b932f5c0aa1E1ae,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994647,12994647
0x889eaCb305d080F6853378dC8FD96227b2a1bF7C,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994660,12994660
